27,manual-main-127644,Media-VP-BXT-PreETM,03:38:04,03:38:04,41:55:10,"",3:38:04,00:55:48,04:33:52
27,manual-main-127600,Media-VP-BXT-PreETM,04:53:55,71:25:32,45:01:37,1:19:06,71:25:32,00:56:01,72:21:33
27,manual-main-127512,Media-VP-BXT-PreETM,03:55:41,23:07:01,41:38:35,1:07:13,23:07:01,01:08:11,24:15:12
27,manual-main-127503,Media-VP-BXT-PreETM,03:59:04,03:59:04,44:50:07,"",3:59:04,00:56:56,04:56:00
27,manual-main-127456,Media-VP-BXT-PreETM,04:34:46,04:34:46,49:58:29,"",4:34:46,00:54:33,05:29:19
27,manual-main-127397,Media-Encode-Pre-ETM-BXT-Android,05:11:24,05:11:25,16:33:18,"",5:11:25,00:58:17,06:09:42
27,manual-main-127396,Media-Encode-KBL-PreETM,02:35:03,02:35:03,15:21:38,8:56:46,22:40:29,01:02:39,23:43:08
27,manual-main-127396,Media-Encode-KBL-PreETM,02:35:03,02:35:03,15:21:38,2:13:16,22:40:29,01:02:39,23:43:08
27,manual-main-127396,Media-Encode-CNL-PreETM,05:11:20,20:20:01,53:57:15,8:56:46,22:40:29,01:02:39,23:43:08
27,manual-main-127396,Media-Encode-CNL-PreETM,05:11:20,20:20:01,53:57:15,2:13:16,22:40:29,01:02:39,23:43:08
27,manual-main-127396,Media-Encode-BXT-PreETM,13:22:52,22:40:29,72:39:37,8:56:46,22:40:29,01:02:39,23:43:08
27,manual-main-127396,Media-Encode-BXT-PreETM,13:22:52,22:40:29,72:39:37,2:13:16,22:40:29,01:02:39,23:43:08
27,manual-main-127316,Media-Encode-Pre-ETM-BXT-Android,03:21:41,03:21:41,15:37:32,"",3:21:41,00:32:04,03:53:45
27,manual-main-127263,Media-Encode-Pre-ETM-BXT-Android,02:51:51,02:51:51,20:53:52,"",7:47:37,00:57:00,08:44:37
27,manual-main-127263,Media-Encode-KBL-PreETM,01:03:24,01:03:24,9:51:48,"",7:47:37,00:57:00,08:44:37
27,manual-main-127263,Media-Encode-BXT-PreETM,02:59:46,02:59:46,43:17:35,"",7:47:37,00:57:00,08:44:37
27,manual-main-127263,Media-Encode-CNL-PreETM,07:46:55,07:46:55,35:14:51,"",7:47:37,00:57:00,08:44:37
27,manual-main-127256,Media-Encode-CNL-PreETM,03:55:32,03:55:32,34:58:44,"",8:37:50,00:45:11,09:23:01
27,manual-main-127256,Media-Encode-BXT-PreETM,08:37:50,08:37:50,57:10:07,"",8:37:50,00:45:11,09:23:01
27,manual-main-127256,Media-Encode-KBL-PreETM,01:01:55,01:01:55,10:03:49,"",8:37:50,00:45:11,09:23:01
27,manual-main-127256,Media-Encode-Pre-ETM-BXT-Android,03:30:33,03:30:33,15:43:36,"",8:37:50,00:45:11,09:23:01
27,manual-main-127153,Media-VP-BXT-PreETM,06:12:59,06:13:00,91:51:58,0:14:24,28:10:13,00:49:23,28:59:36
27,manual-main-127153,Media-Encode-KBL-PreETM,03:32:37,03:32:37,11:48:40,0:14:24,28:10:13,00:49:23,28:59:36
27,manual-main-127153,Media-Encode-BXT-PreETM,04:13:19,04:13:19,33:17:50,0:14:24,28:10:13,00:49:23,28:59:36
27,manual-main-127153,Media-Encode-CNL-PreETM,06:12:23,06:12:23,34:51:12,0:14:24,28:10:13,00:49:23,28:59:36
27,manual-main-127153,Media-Decode-BXT-PreETM,05:52:06,28:09:22,212:04:45,0:14:24,28:10:13,00:49:23,28:59:36
27,manual-main-127153,Media-Decode-CNL-PreETM,05:03:24,05:03:24,54:31:36,0:14:24,28:10:13,00:49:23,28:59:36
27,manual-main-127142,Media-Decode-CNL-PreETM,05:12:34,05:12:34,58:55:57,"",5:45:19,01:05:22,06:50:41
27,manual-main-127142,Media-Decode-BXT-PreETM,05:45:19,05:45:19,175:53:20,"",5:45:19,01:05:22,06:50:41
27,manual-main-127132,Media-Encode-CNL-PreETM,07:36:23,167:08:19,39:21:34,33:26:38,170:28:41,01:10:48,71:39:29
27,manual-main-127132,Media-Encode-CNL-PreETM,07:36:23,167:08:19,39:21:34,36:38:36,170:28:41,01:10:48,71:39:29
27,manual-main-127132,Media-Encode-CNL-PreETM,07:36:23,167:08:19,39:21:34,11:37:12,170:28:41,01:10:48,71:39:29
27,manual-main-127132,Media-Encode-CNL-PreETM,07:36:23,167:08:19,39:21:34,16:23:36,170:28:41,01:10:48,71:39:29
27,manual-main-127132,Media-Encode-BXT-PreETM,08:47:50,170:28:41,44:31:22,33:26:38,170:28:41,01:10:48,71:39:29
27,manual-main-127132,Media-Encode-BXT-PreETM,08:47:50,170:28:41,44:31:22,36:38:36,170:28:41,01:10:48,71:39:29
27,manual-main-127132,Media-Encode-BXT-PreETM,08:47:50,170:28:41,44:31:22,11:37:12,170:28:41,01:10:48,71:39:29
27,manual-main-127132,Media-Encode-BXT-PreETM,08:47:50,170:28:41,44:31:22,16:23:36,170:28:41,01:10:48,71:39:29
27,manual-main-127132,Media-Encode-KBL-PreETM,02:24:22,164:28:59,11:52:15,33:26:38,170:28:41,01:10:48,71:39:29
27,manual-main-127132,Media-Encode-KBL-PreETM,02:24:22,164:28:59,11:52:15,36:38:36,170:28:41,01:10:48,71:39:29
27,manual-main-127132,Media-Encode-KBL-PreETM,02:24:22,164:28:59,11:52:15,11:37:12,170:28:41,01:10:48,71:39:29
27,manual-main-127132,Media-Encode-KBL-PreETM,02:24:22,164:28:59,11:52:15,16:23:36,170:28:41,01:10:48,71:39:29
27,manual-main-127132,Media-Encode-Pre-ETM-BXT-Android,08:05:18,167:33:01,22:57:23,33:26:38,170:28:41,01:10:48,71:39:29
27,manual-main-127132,Media-Encode-Pre-ETM-BXT-Android,08:05:18,167:33:01,22:57:23,36:38:36,170:28:41,01:10:48,71:39:29
27,manual-main-127132,Media-Encode-Pre-ETM-BXT-Android,08:05:18,167:33:01,22:57:23,11:37:12,170:28:41,01:10:48,71:39:29
27,manual-main-127132,Media-Encode-Pre-ETM-BXT-Android,08:05:18,167:33:01,22:57:23,16:23:36,170:28:41,01:10:48,71:39:29
27,manual-main-127127,Media-Encode-KBL-PreETM,02:34:54,02:34:54,14:57:33,0:38:32,5:22:56,01:14:28,06:37:24
27,manual-main-127127,Media-Encode-KBL-PreETM,02:34:54,02:34:54,14:57:33,0:39:02,5:22:56,01:14:28,06:37:24
27,manual-main-127127,Media-Encode-BXT-PreETM,02:13:40,05:22:56,29:38:59,0:38:32,5:22:56,01:14:28,06:37:24
27,manual-main-127127,Media-Encode-BXT-PreETM,02:13:40,05:22:56,29:38:59,0:39:02,5:22:56,01:14:28,06:37:24
27,manual-main-127127,Media-Encode-CNL-PreETM,04:33:14,05:21:34,35:28:12,0:38:32,5:22:56,01:14:28,06:37:24
27,manual-main-127127,Media-Encode-CNL-PreETM,04:33:14,05:21:34,35:28:12,0:39:02,5:22:56,01:14:28,06:37:24
27,manual-main-127101,Media-CP-BXT-PreETM,02:44:07,02:44:07,9:00:25,"",2:44:07,01:00:52,03:44:59
27,manual-main-127096,Media-CP-BXT-PreETM,00:57:56,00:57:56,7:30:27,57:50:30,168:13:32,00:52:29,69:06:01
27,manual-main-127096,Media-CP-BXT-PreETM,00:57:56,00:57:56,7:30:27,1:01:22,168:13:32,00:52:29,69:06:01
27,manual-main-127096,Media-CP-BXT-PreETM,00:57:56,00:57:56,7:30:27,3:51:30,168:13:32,00:52:29,69:06:01
27,manual-main-127096,Media-Decode-BXT-PreETM,06:34:25,168:11:02,146:55:45,57:50:30,168:13:32,00:52:29,69:06:01
27,manual-main-127096,Media-Decode-BXT-PreETM,06:34:25,168:11:02,146:55:45,1:01:22,168:13:32,00:52:29,69:06:01
27,manual-main-127096,Media-Decode-BXT-PreETM,06:34:25,168:11:02,146:55:45,3:51:30,168:13:32,00:52:29,69:06:01
27,manual-main-127096,Media-Decode-CNL-PreETM,04:42:33,04:42:33,48:48:56,57:50:30,168:13:32,00:52:29,69:06:01
27,manual-main-127096,Media-Decode-CNL-PreETM,04:42:33,04:42:33,48:48:56,1:01:22,168:13:32,00:52:29,69:06:01
27,manual-main-127096,Media-Decode-CNL-PreETM,04:42:33,04:42:33,48:48:56,3:51:30,168:13:32,00:52:29,69:06:01
27,manual-main-127096,Media-Encode-CNL-PreETM,30:57:50,168:08:00,179:36:17,57:50:30,168:13:32,00:52:29,69:06:01
27,manual-main-127096,Media-Encode-CNL-PreETM,30:57:50,168:08:00,179:36:17,1:01:22,168:13:32,00:52:29,69:06:01
27,manual-main-127096,Media-Encode-CNL-PreETM,30:57:50,168:08:00,179:36:17,3:51:30,168:13:32,00:52:29,69:06:01
27,manual-main-127096,Media-Encode-BXT-PreETM,30:56:26,47:04:35,168:12:51,57:50:30,168:13:32,00:52:29,69:06:01
27,manual-main-127096,Media-Encode-BXT-PreETM,30:56:26,47:04:35,168:12:51,1:01:22,168:13:32,00:52:29,69:06:01
27,manual-main-127096,Media-Encode-BXT-PreETM,30:56:26,47:04:35,168:12:51,3:51:30,168:13:32,00:52:29,69:06:01
27,manual-main-127096,Media-Encode-KBL-PreETM,31:09:11,31:09:11,62:12:41,57:50:30,168:13:32,00:52:29,69:06:01
27,manual-main-127096,Media-Encode-KBL-PreETM,31:09:11,31:09:11,62:12:41,1:01:22,168:13:32,00:52:29,69:06:01
27,manual-main-127096,Media-Encode-KBL-PreETM,31:09:11,31:09:11,62:12:41,3:51:30,168:13:32,00:52:29,69:06:01
27,manual-main-127096,Media-Encode-Pre-ETM-BXT-Android,05:58:01,05:58:02,16:08:47,57:50:30,168:13:32,00:52:29,69:06:01
27,manual-main-127096,Media-Encode-Pre-ETM-BXT-Android,05:58:01,05:58:02,16:08:47,1:01:22,168:13:32,00:52:29,69:06:01
27,manual-main-127096,Media-Encode-Pre-ETM-BXT-Android,05:58:01,05:58:02,16:08:47,3:51:30,168:13:32,00:52:29,69:06:01
27,manual-main-127096,Media-VP-BXT-PreETM,12:59:11,12:59:11,76:05:00,57:50:30,168:13:32,00:52:29,69:06:01
27,manual-main-127096,Media-VP-BXT-PreETM,12:59:11,12:59:11,76:05:00,1:01:22,168:13:32,00:52:29,69:06:01
27,manual-main-127096,Media-VP-BXT-PreETM,12:59:11,12:59:11,76:05:00,3:51:30,168:13:32,00:52:29,69:06:01
27,manual-main-127033,Media-VP-BXT-PreETM,03:40:13,03:40:13,71:36:58,41:33:48,29:39:14,00:49:53,30:29:07
27,manual-main-127033,Media-Encode-KBL-PreETM,29:14:16,29:14:16,71:55:49,41:33:48,29:39:14,00:49:53,30:29:07
27,manual-main-127033,Media-Encode-BXT-PreETM,29:10:37,29:10:58,166:49:31,41:33:48,29:39:14,00:49:53,30:29:07
27,manual-main-127033,Media-Encode-CNL-PreETM,29:36:03,29:36:31,182:43:05,41:33:48,29:39:14,00:49:53,30:29:07
